age,avg_lifesatisfaction,avg_worthwhile,avg_happiness,avg_anxiety
16,7.85,7.75,7.57,2.73
17,7.85,7.75,7.57,2.73
18,7.85,7.75,7.57,2.73
19,7.85,7.75,7.57,2.73
20,7.56,7.62,7.3,2.83
21,7.56,7.62,7.3,2.83
22,7.56,7.62,7.3,2.83
23,7.56,7.62,7.3,2.83
24,7.56,7.62,7.3,2.83
25,7.61,7.75,7.36,2.85
26,7.61,7.75,7.36,2.85
27,7.61,7.75,7.36,2.85
28,7.61,7.75,7.36,2.85
29,7.61,7.75,7.36,2.85
30,7.59,7.8,7.38,2.89
31,7.59,7.8,7.38,2.89
32,7.59,7.8,7.38,2.89
33,7.59,7.8,7.38,2.89
34,7.59,7.8,7.38,2.89
35,7.43,7.75,7.27,3.06
36,7.43,7.75,7.27,3.06
37,7.43,7.75,7.27,3.06
38,7.43,7.75,7.27,3.06
39,7.43,7.75,7.27,3.06
40,7.33,7.7,7.23,3.11
41,7.33,7.7,7.23,3.11
42,7.33,7.7,7.23,3.11
43,7.33,7.7,7.23,3.11
44,7.33,7.7,7.23,3.11
45,7.23,7.61,7.15,3.18
46,7.23,7.61,7.15,3.18
47,7.23,7.61,7.15,3.18
48,7.23,7.61,7.15,3.18
49,7.23,7.61,7.15,3.18
50,7.21,7.6,7.14,3.24
51,7.21,7.6,7.14,3.24
52,7.21,7.6,7.14,3.24
53,7.21,7.6,7.14,3.24
54,7.21,7.6,7.14,3.24
55,7.31,7.67,7.19,3.21
56,7.31,7.67,7.19,3.21
57,7.31,7.67,7.19,3.21
58,7.31,7.67,7.19,3.21
59,7.31,7.67,7.19,3.21
60,7.61,7.87,7.52,2.92
61,7.61,7.87,7.52,2.92
62,7.61,7.87,7.52,2.92
63,7.61,7.87,7.52,2.92
64,7.61,7.87,7.52,2.92
65,7.85,8.07,7.81,2.6
66,7.85,8.07,7.81,2.6
67,7.85,8.07,7.81,2.6
68,7.85,8.07,7.81,2.6
69,7.85,8.07,7.81,2.6
70,7.89,8.1,7.79,2.64
71,7.89,8.1,7.79,2.64
72,7.89,8.1,7.79,2.64
73,7.89,8.1,7.79,2.64
74,7.89,8.1,7.79,2.64
75,7.83,7.99,7.71,2.65
76,7.83,7.99,7.71,2.65
77,7.83,7.99,7.71,2.65
78,7.83,7.99,7.71,2.65
79,7.83,7.99,7.71,2.65
80,7.74,7.78,7.59,2.59
81,7.74,7.78,7.59,2.59
82,7.74,7.78,7.59,2.59
83,7.74,7.78,7.59,2.59
84,7.74,7.78,7.59,2.59
85,7.62,7.53,7.51,2.6
86,7.62,7.53,7.51,2.6
87,7.62,7.53,7.51,2.6
88,7.62,7.53,7.51,2.6
89,7.62,7.53,7.51,2.6
90,7.62,7.53,7.51,2.6
91,7.54,7.26,7.31,2.57
